id,count
0,104.95
1,233.4
2,97.76
4,30.39
5,49.38
10,131.34
11,174.03
12,329.19
15,35.2
17,127.37
18,307.84
23,271.68
25,102.44
26,36.94
31,221.46
39,148.18
40,24.2
41,196.25
42,368.36
43,180.69
51,237.99
52,82.76
54,14.28
60,154.15
61,161.02
62,116.06
63,32.69
65,125.23
66,115.94
68,143.71
71,70.61
80,26.0
82,71.25
94,133.67
98,259.69
101,35.66
102,138.24
107,189.12
112,218.76
113,82.99
115,61.36
116,123.17
120,163.32
121,85.75
122,332.77
132,216.92
143,86.33
147,67.47
150,16.25
151,83.95
152,242.66
153,90.55
155,180.63
156,122.51
159,215.99
161,152.51
163,42.57
177,184.7
186,12.72
188,17.04
190,99.11
191,86.79
192,264.4
195,319.06
200,156.04
209,318.31
210,13.55
211,219.82
214,127.35
215,24.39
218,99.22
219,30.01
222,149.91
225,15.23
228,326.56
236,243.08
241,32.93
242,181.41
243,233.71
245,16.04
247,253.84
251,136.25
252,90.59
253,86.07
254,92.23
258,311.82
260,58.27
261,155.2
265,118.52
266,285.29
267,300.35
269,174.63
270,70.76
275,98.3
278,36.29
279,85.73
286,99.22
287,27.55
288,216.64
289,144.07
293,18.63
294,134.74
297,46.2
302,121.43
303,73.4
304,55.41
307,100.75
309,17.62
311,161.6
312,114.52
314,180.57
315,242.3
319,162.49
322,114.62
323,68.81
325,132.79
327,245.12
330,33.62
332,220.68
333,17.96
338,99.37
341,111.66
345,207.55
348,107.81
349,45.13
350,119.35
352,59.03
355,15.93
356,207.08
358,60.89
363,127.74
369,154.21
371,19.14
372,141.97
375,313.39
380,132.43
388,44.63
391,149.55
392,263.11
393,378.86
394,202.04
396,25.27
401,38.74
407,107.54
409,86.84
410,116.88
416,82.57
418,125.46
420,156.03
421,198.49
422,133.64
424,288.77
428,335.92
429,244.35
431,140.91
435,11.91
439,116.42
441,13.44
447,98.42
449,139.9
451,135.56
452,17.04
454,196.78
458,221.43
463,123.98
467,15.51
470,250.15
471,163.86
474,298.5
478,17.45
483,122.56
484,116.36
485,85.71
486,126.13
491,98.67
494,106.54
495,241.24
497,222.82
499,151.33
515,111.69
518,227.5
521,190.69
525,169.58
529,258.63
532,147.78
534,109.61
540,118.03
544,303.95
547,165.46
549,44.89
563,36.86
564,141.51
567,121.05
572,114.16
577,118.07
578,275.22
585,344.98
588,137.64
589,119.33
590,100.37
592,17.41
594,239.17
596,15.05
598,347.78
599,143.92
605,37.42
606,132.97
607,248.67
608,218.77
609,68.31
610,279.71
611,183.72
614,132.44
615,219.57
616,263.51
617,129.44
618,245.36
624,119.86
629,136.27
631,92.87
633,101.45
637,24.58
638,106.7
643,75.84
644,145.26
645,34.61
