index,quality
0,6
1,5
2,6
3,5
4,6
5,6
6,6
7,6
8,5
9,9
10,6
11,5
12,7
13,6
14,8
15,6
16,6
17,6
18,6
19,5
20,6
21,6
22,5
23,7
24,6
25,5
26,5
27,5
28,6
29,5
30,7
31,8
32,5
33,5
34,6
35,6
36,5
37,6
38,6
39,6
40,5
41,5
42,6
43,6
44,6
45,6
46,5
47,7
48,4
49,6
50,5
51,5
52,6
53,5
54,5
55,6
56,6
57,5
58,6
59,6
60,5
61,6
62,7
63,4
64,8
65,6
66,6
67,5
68,6
69,5
70,5
71,5
72,4
73,6
74,6
75,5
76,7
77,6
78,6
79,7
80,7
81,6
82,5
83,4
84,6
85,5
86,5
87,5
88,7
89,7
90,7
91,4
92,5
93,6
94,6
95,7
96,7
97,6
98,5
99,6
100,5
101,6
102,8
103,6
104,6
105,6
106,5
107,6
108,6
109,5
110,6
111,6
112,6
113,5
114,6
115,6
116,5
117,6
118,6
119,6
120,6
121,5
122,4
123,7
124,5
125,6
126,5
127,6
128,6
129,6
130,5
131,5
132,4
133,5
134,7
135,6
136,6
137,7
138,6
139,6
140,5
141,6
142,5
143,6
144,5
145,5
146,7
147,6
148,7
149,6
150,5
151,8
152,6
153,5
154,5
155,5
156,5
157,5
158,7
159,5
160,5
161,6
162,6
163,5
164,6
165,6
166,5
167,8
168,5
169,6
170,5
171,6
172,5
173,5
174,7
175,5
176,6
177,5
178,5
179,5
180,6
181,6
182,7
183,6
184,5
185,6
186,6
187,6
188,5
189,6
190,6
191,5
192,6
193,6
194,7
195,4
196,6
197,5
198,5
199,5
200,6
201,6
202,6
203,5
204,5
205,5
206,6
207,6
208,6
209,6
210,7
211,5
212,6
213,5
214,7
215,7
216,6
217,5
218,6
219,7
220,6
221,6
222,6
223,4
224,7
225,6
226,6
227,5
228,6
229,5
230,7
231,7
232,7
233,5
234,6
235,6
236,6
237,6
238,6
239,7
240,6
241,6
242,6
243,6
244,7
245,6
246,6
247,7
248,5
249,7
250,5
251,6
252,8
253,7
254,6
255,6
256,7
257,7
258,6
259,6
260,7
261,5
262,6
263,7
264,5
265,5
266,7
267,5
268,6
269,5
270,6
271,4
272,5
273,5
274,6
275,5
276,7
277,7
278,6
279,6
280,7
281,6
282,7
283,6
284,7
285,7
286,5
287,6
288,5
289,6
290,5
291,5
292,5
293,5
294,5
295,7
296,8
297,5
298,5
299,8
300,6
301,6
302,5
303,5
304,6
305,7
306,5
307,7
308,6
309,5
310,6
311,6
312,6
313,6
